Id,Label,timeset,Cluster,pageranks
Trigona laeviceps,Trigona laeviceps,,0,0.000014
Homo sapiens,Homo sapiens,,0,0.001189
Lisotrigona cacciae,Lisotrigona cacciae,,0,0.000014
Canis lupus,Canis lupus,,0,0.000118
Lisotrigona furva,Lisotrigona furva,,0,0.000014
Bos taurus,Bos taurus,,0,0.000136
Lycaena xanthoides,Lycaena xanthoides,,0,0.000014
Grindelia hirsutula,Grindelia hirsutula,,0,0.000031
Meloe franciscanus,Meloe franciscanus,,0,0.000014
Astragalus lentiginosus,Astragalus lentiginosus,,0,0.000026
Oculina arbuscula,Oculina arbuscula,,1,0.000014
Thalassiosira pseudonana,Thalassiosira pseudonana,,1,0.000099
Temora longicornis,Temora longicornis,,1,0.000153
Skeletonema marinoi,Skeletonema marinoi,,1,0.000063
Centropages hamatus,Centropages hamatus,,1,0.000023
Acartia tonsa,Acartia tonsa,,1,0.000255
Penilia avirostris,Penilia avirostris,,1,0.0002
Skeletonema costatum,Skeletonema costatum,,1,0.000265
Tisbe furcata,Tisbe furcata,,1,0.000042
Nitokra lacustris,Nitokra lacustris,,1,0.000014
Euphausia superba,Euphausia superba,,1,0.000683
Thalassiosira oliverana,Thalassiosira oliverana,,1,0.000021
Thalassiosira lentiginosa,Thalassiosira lentiginosa,,1,0.000059
Thalassiosira gracilis,Thalassiosira gracilis,,1,0.000059
Thalassiosira antarctica,Thalassiosira antarctica,,1,0.000063
Nitzschia pseudonana,Nitzschia pseudonana,,1,0.000021
Fragilariopsis angulata,Fragilariopsis angulata,,1,0.000021
Fragilariopsis curta,Fragilariopsis curta,,1,0.000062
Fragilariopsis cylindrus,Fragilariopsis cylindrus,,1,0.00006
Fragilariopsis pseudonana,Fragilariopsis pseudonana,,1,0.000059
Fragilariopsis ritscheri,Fragilariopsis ritscheri,,1,0.000059
Fragilariopsis sublineata,Fragilariopsis sublineata,,1,0.000021
Fragilariopsis obliquecostata,Fragilariopsis obliquecostata,,1,0.00006
Austroperla cyrene,Austroperla cyrene,,1,0.000015
Epithemia sorex,Epithemia sorex,,1,0.000028
Coloburiscus humeralis,Coloburiscus humeralis,,1,0.000033
Hydora nitida,Hydora nitida,,1,0.000043
Potamopyrgus antipodarum,Potamopyrgus antipodarum,,1,0.000035
Austroclima jollyae,Austroclima jollyae,,1,0.000015
Austrosimulium australense,Austrosimulium australense,,1,0.000023
Nesameletus ornatus,Nesameletus ornatus,,1,0.000026
Hydrobiosella stenocerca,Hydrobiosella stenocerca,,1,0.000017
Zephlebia spectabilis,Zephlebia spectabilis,,1,0.000015
Acroperla trivacuata,Acroperla trivacuata,,1,0.000014
Beraeoptera roria,Beraeoptera roria,,1,0.000018
Olinga feredayi,Olinga feredayi,,1,0.000021
Ameletopsis perscitus,Ameletopsis perscitus,,1,0.000015
Helicopsyche albescens,Helicopsyche albescens,,1,0.000018
Oxyethira albiceps,Oxyethira albiceps,,1,0.000045
Gomphonema acuminatum,Gomphonema acuminatum,,1,0.000019
Cymbella aspera,Cymbella aspera,,1,0.000032
Zelandoperla fenestrata,Zelandoperla fenestrata,,1,0.000015
Sphaerium occidentale,Sphaerium occidentale,,1,0.000014
Atalophlebioides cromwelli,Atalophlebioides cromwelli,,1,0.000016
Chiton virgulatus,Chiton virgulatus,,1,0.000014
Achnanthes pseudogroenlandica,Achnanthes pseudogroenlandica,,1,0.00002
Nitzschia frustulum,Nitzschia frustulum,,1,0.000039
Acartia clausi,Acartia clausi,,1,0.000103
Coscinodiscus wailesii,Coscinodiscus wailesii,,1,0.00008
Thalassiosira punctigera,Thalassiosira punctigera,,1,0.00008
Actinoptychus senarius,Actinoptychus senarius,,1,0.00008
Parkesia motacilla,Parkesia motacilla,,0,0.000014
Nigronia fasciata,Nigronia fasciata,,1,0.000014
Pseudexentera oregonana,Pseudexentera oregonana,,0,0.000014
Lochmaeus bilineata,Lochmaeus bilineata,,0,0.000014
Heterocampa guttivitta,Heterocampa guttivitta,,0,0.000014
Ellida caniplaga,Ellida caniplaga,,0,0.000014
Sunira bicolorago,Sunira bicolorago,,0,0.000014
Orthosia hibisci,Orthosia hibisci,,0,0.000014
Orthosia garmani,Orthosia garmani,,0,0.000014
Celaena leucostigma,Celaena leucostigma,,0,0.000014
Cerastis tenebrifera,Cerastis tenebrifera,,0,0.000014
Amphipyra pyramidoides,Amphipyra pyramidoides,,0,0.000014
Acronicta impleta,Acronicta impleta,,0,0.000014
Achatia distincta,Achatia distincta,,0,0.000014
Heliomata cycladata,Heliomata cycladata,,0,0.000014
Epimecis hortaria,Epimecis hortaria,,0,0.000027
Campaea perlata,Campaea perlata,,0,0.000014
Zale minerea,Zale minerea,,0,0.000014
Renia salusalis,Renia salusalis,,0,0.000014
Orgyia definita,Orgyia definita,,0,0.000014
Lymantria dispar,Lymantria dispar,,0,0.000025
Cissusa spadix,Cissusa spadix,,0,0.000014
Catocala neogama,Catocala neogama,,0,0.000014
Catocala micronympha,Catocala micronympha,,0,0.000014
Allotria elonympha,Allotria elonympha,,0,0.000014
Euthyatira pudens,Euthyatira pudens,,0,0.000014
Semioscopis megamicrella,Semioscopis megamicrella,,0,0.000014
Hemichroa militaris,Hemichroa militaris,,0,0.000014
Epeorus pleuralis,Epeorus pleuralis,,1,0.000023
Tipula fuliginosa,Tipula fuliginosa,,0,0.000014
Tipula bicolor,Tipula bicolor,,0,0.000014
Nephrotoma virescens,Nephrotoma virescens,,0,0.000014
Syrphus torvus,Syrphus torvus,,0,0.000014
Syrphus rectus,Syrphus rectus,,0,0.000014
Pedicia inconstans,Pedicia inconstans,,0,0.000014
Eutonia alleni,Eutonia alleni,,0,0.000014
Pollenia rudis,Pollenia rudis,,0,0.000014
Laphria janus,Laphria janus,,0,0.000014
Odontota dorsalis,Odontota dorsalis,,0,0.000015
Machiloides banksi,Machiloides banksi,,0,0.000014
Clubiona canadensis,Clubiona canadensis,,0,0.000014
Larinioides cornutus,Larinioides cornutus,,0,0.000026
Eustala anastera,Eustala anastera,,0,0.000014
